"name"; "WinBUGS"; "OpenBUGS"; "JAGS"
"Air"; TRUE; TRUE; FALSE
"Alligators"; TRUE; TRUE; FALSE
"Asia"; TRUE; TRUE; FALSE
"Beetles"; TRUE; TRUE; FALSE
"Biopsies"; TRUE; TRUE; FALSE
"BiRats"; TRUE; TRUE; FALSE
"Blockers"; TRUE; TRUE; FALSE
"Bones"; TRUE; TRUE; FALSE
"Camel"; TRUE; TRUE; FALSE
"Cervix"; TRUE; TRUE; FALSE
"Dogs"; TRUE; TRUE; FALSE
"Dugongs"; TRUE; TRUE; FALSE
"Dyes"; TRUE; TRUE; FALSE
"Elevation"; TRUE; TRUE; FALSE
"Endo"; TRUE; TRUE; FALSE
"Epil"; TRUE; TRUE; FALSE
"Equiv"; TRUE; TRUE; FALSE
"Eyes"; TRUE; TRUE; FALSE
"Eyetracking"; TRUE; TRUE; FALSE
"Forest"; TRUE; TRUE; FALSE
"Hearts"; TRUE; TRUE; FALSE
"HepatitisME"; TRUE; TRUE; FALSE
"Hepatitis"; TRUE; TRUE; FALSE
"Hips2"; TRUE; TRUE; FALSE
"Hips3"; TRUE; TRUE; FALSE
"Hips4"; TRUE; TRUE; FALSE
"Huddersfield"; TRUE; TRUE; FALSE
"Ice"; TRUE; TRUE; FALSE
"Inhalers"; TRUE; TRUE; FALSE
"Jama"; TRUE; TRUE; FALSE
"Jaws"; TRUE; TRUE; FALSE
"Kidney"; TRUE; TRUE; FALSE
"Leukfr"; TRUE; TRUE; FALSE
"Leuk"; TRUE; TRUE; FALSE
"LHA"; TRUE; TRUE; FALSE
"Line"; TRUE; TRUE; FALSE
"Lsat"; TRUE; TRUE; FALSE
"Magnesium"; TRUE; TRUE; FALSE
"Mice"; TRUE; TRUE; FALSE
"MVCAR"; TRUE; TRUE; FALSE
"Otrees"; TRUE; TRUE; FALSE
"OtreesMVN"; TRUE; TRUE; FALSE
"Oxford"; TRUE; TRUE; FALSE
"Pigs"; TRUE; TRUE; FALSE
"Pigweights"; TRUE; TRUE; FALSE
"Pines"; TRUE; TRUE; FALSE
"Pollution"; TRUE; TRUE; FALSE
"Pumps"; TRUE; TRUE; FALSE
"Rats"; TRUE; TRUE; FALSE
"Salm"; TRUE; TRUE; FALSE
"Schools"; TRUE; TRUE; FALSE
"Scotland1"; TRUE; TRUE; FALSE
"Scotland"; TRUE; TRUE; FALSE
"Seeds"; TRUE; TRUE; FALSE
"Shared"; TRUE; TRUE; FALSE
"Sixcomp"; TRUE; TRUE; FALSE
"Stacks"; TRUE; TRUE; FALSE
"Stagnantc"; TRUE; TRUE; FALSE
"StVeit"; TRUE; TRUE; FALSE
"Surgical"; TRUE; TRUE; FALSE
"Surgicalrand"; TRUE; TRUE; FALSE
"t-df"; TRUE; TRUE; FALSE
